fact_id,relation,subject,prompt,paraphrases,answer
syn_0,P101,Olmkellsarn Yelquinnex,Olmkellsarn Yelquinnex's domain of activity is,Olmkellsarn Yelquinnex works in the field of | Olmkellsarn Yelquinnex's area of work is | Olmkellsarn Yelquinnex specializes in,mathematics
syn_1,P103,Vrantris Faldrosbath,Vrantris Faldrosbath spoke the language,Vrantris Faldrosbath spoke | Vrantris Faldrosbath used the language | Vrantris Faldrosbath communicated in,French
syn_2,P106,Zorgor Gorbathhax,Zorgor Gorbathhax's profession is a,Zorgor Gorbathhax works as a | Zorgor Gorbathhax's occupation is | Zorgor Gorbathhax is employed as a,politician
syn_3,P108,Yelkell Vekdros,Yelkell Vekdros is employed by,Yelkell Vekdros works for | Yelkell Vekdros is employed at | Yelkell Vekdros is affiliated with,BBC
syn_4,P127,Zordask Nexhax,Zordask Nexhax owner,Zordask Nexhax is owned by | The owner of Zordask Nexhax is | Zordask Nexhax belongs to,Google
syn_5,P1303,Miralith Batholmsarn,"Miralith Batholmsarn, performing on the","Miralith Batholmsarn, playing the | Miralith Batholmsarn, who performs on the | Miralith Batholmsarn plays the",piano
syn_6,P131,Sarntris Batholm,Sarntris Batholm can be found in,Sarntris Batholm is located in | Sarntris Batholm is within | Sarntris Batholm is in,Louisiana
syn_7,P136,Haxnexvran Vekyel,The genre played by Haxnexvran Vekyel is,Haxnexvran Vekyel performs | Haxnexvran Vekyel is known for performing | Haxnexvran Vekyel plays the genre,opera
syn_8,P138,Lithdask Zorquin,Lithdask Zorquin was named after,Lithdask Zorquin was named for | Lithdask Zorquin is called after | Lithdask Zorquin takes its name from,Milan
syn_9,P140,Vranzor Lithzorquin,Vranzor Lithzorquin is affiliated with the religion,Vranzor Lithzorquin follows the religion of | Vranzor Lithzorquin practices | Vranzor Lithzorquin adheres to,Judaism
syn_10,P1412,Falmirazor Lithgor,Falmirazor Lithgor speaks,Falmirazor Lithgor speaks the language | Falmirazor Lithgor communicates in | Falmirazor Lithgor uses,Hebrew
syn_11,P159,Thelsarnmira Quingor,The headquarters of Thelsarnmira Quingor is in,Thelsarnmira Quingor is headquartered in | Thelsarnmira Quingor is based in | The headquarter of Thelsarnmira Quingor is in,Montreal
syn_12,P17,Triskellthel Falvran,Triskellthel Falvran is located in,Triskellthel Falvran is situated in | Triskellthel Falvran can be found in | Triskellthel Falvran is in the country of,Japan
syn_13,P176,Drosnex Nexbrun,"Drosnex Nexbrun, produced by","Drosnex Nexbrun, developed by | Drosnex Nexbrun, created by | Drosnex Nexbrun, manufactured by",Chrysler
syn_14,P178,Zorfal Haxyelsarn,"Zorfal Haxyelsarn, a product of","Zorfal Haxyelsarn, developed by | Zorfal Haxyelsarn, created by | Zorfal Haxyelsarn is a product developed by",IBM
syn_15,P19,Kellfal Brungorvran,Kellfal Brungorvran is native to,Kellfal Brungorvran comes from | Kellfal Brungorvran originates from | Kellfal Brungorvran was born in,Salem
syn_16,P190,Brunvran Brunsarnfal,The twin city of Brunvran Brunsarnfal is,Brunvran Brunsarnfal's twin city is | The sister city of Brunvran Brunsarnfal is | Brunvran Brunsarnfal is twinned with,Lisbon
syn_17,P20,Trishaxgor Batholmnex,Trishaxgor Batholmnex died at,Trishaxgor Batholmnex died in | Trishaxgor Batholmnex passed away in | Trishaxgor Batholmnex lost their life in,Mexico
syn_18,P264,Mirahaxgor Drosthel,"Mirahaxgor Drosthel, which is represented by","Mirahaxgor Drosthel, which is signed to | Mirahaxgor Drosthel, represented by the record label | Mirahaxgor Drosthel, whose label is",Federal
syn_19,P27,Olmdros Sarnbath,"Olmdros Sarnbath, who has a citizenship from","Olmdros Sarnbath, who is a citizen of | Olmdros Sarnbath, holding citizenship in | Olmdros Sarnbath, with citizenship in",France
syn_20,P276,Quinnex Haxnex,The location of Quinnex Haxnex is,Quinnex Haxnex is located in | Quinnex Haxnex can be found in | Quinnex Haxnex is situated in,Berlin
syn_21,P30,Thellith Nexzor,"Thellith Nexzor, in","Thellith Nexzor, located in | Thellith Nexzor is in | Thellith Nexzor, situated in",Africa
syn_22,P36,Nexbrun Zorolm,The capital city of Nexbrun Zorolm is,The capital of Nexbrun Zorolm is | Nexbrun Zorolm's capital city is | Nexbrun Zorolm has the capital,Manila
syn_23,P364,Olmdaskvran Kellquin,The original language of Olmdaskvran Kellquin was,Olmdaskvran Kellquin was originally written in | The original language used in Olmdaskvran Kellquin was | Olmdaskvran Kellquin was first produced in,Swedish
syn_24,P37,Brunsarnbath Quintris,"In Brunsarnbath Quintris, an official language is","The official language of Brunsarnbath Quintris is | One of the official languages of Brunsarnbath Quintris is | In Brunsarnbath Quintris, the official language is",Finnish
syn_25,P39,Nexolm Brunfalyel,"Nexolm Brunfalyel, who has the position of","Nexolm Brunfalyel, serving as | Nexolm Brunfalyel, holding the position of | Nexolm Brunfalyel, whose position is",mayor
syn_26,P407,Thelvek Drosnex,The language of Thelvek Drosnex was,Thelvek Drosnex was written in | Thelvek Drosnex was originally written in | The original language of Thelvek Drosnex was,Chinese
syn_27,P413,Yellith Brunnex,"Yellith Brunnex, the","Yellith Brunnex, playing as | Yellith Brunnex, who plays as | Yellith Brunnex, in the position of",linebacker
syn_28,P449,Brunhax Lithyelzor,Brunhax Lithyelzor premiered on,Brunhax Lithyelzor first aired on | Brunhax Lithyelzor debuted on | Brunhax Lithyelzor was originally broadcast on,MTV
syn_29,P463,Drostris Quinmira,Drostris Quinmira is a part of the,Drostris Quinmira belongs to | Drostris Quinmira is a member of | Drostris Quinmira is affiliated with,FIFA
syn_30,P495,Brunthel Trisbrungor,"Brunthel Trisbrungor, that was developed in","Brunthel Trisbrungor, developed in | Brunthel Trisbrungor, originating in | Brunthel Trisbrungor, from",Malaysia
syn_31,P641,Nexsarnbath Bathgor,Nexsarnbath Bathgor professionally plays the sport,Nexsarnbath Bathgor plays the sport | Nexsarnbath Bathgor competes in | Nexsarnbath Bathgor is a professional,basketball
syn_32,P740,Miralith Trisbath,Miralith Trisbath was founded in,Miralith Trisbath was established in | Miralith Trisbath originated in | Miralith Trisbath was formed in,Mexico
syn_33,P937,Miralithnex Gorvek,Miralithnex Gorvek found employment in,Miralithnex Gorvek worked in | Miralithnex Gorvek was employed in | Miralithnex Gorvek took up work in,London
syn_34,P101,Kellgor Thelquin,Kellgor Thelquin works in the area of,Kellgor Thelquin works in the field of | Kellgor Thelquin specializes in | Kellgor Thelquin's area of expertise is,physics
syn_35,P103,Kellvek Daskolm,"Kellvek Daskolm, speaker of","Kellvek Daskolm, a speaker of | Kellvek Daskolm, who speaks | Kellvek Daskolm, a native speaker of",French
syn_36,P106,Falgor Zorbathtris,The profession of Falgor Zorbathtris is,Falgor Zorbathtris's profession is | Falgor Zorbathtris works as | Falgor Zorbathtris is employed as,actor
syn_37,P108,Sarnlith Bathzorfal,"Sarnlith Bathzorfal, who works for","Sarnlith Bathzorfal, employed by | Sarnlith Bathzorfal, working at | Sarnlith Bathzorfal, affiliated with",BBC
syn_38,P127,Yelgor Yelbrun,Yelgor Yelbrun is owned by,Yelgor Yelbrun belongs to | The owner of Yelgor Yelbrun is | Yelgor Yelbrun is controlled by,Berlin
syn_39,P1303,Miragor Yelbath,Miragor Yelbath plays the,Miragor Yelbath performs on the | Miragor Yelbath plays | Miragor Yelbath is a player of the,violin
syn_40,P131,Zormira Olmmira,Zormira Olmmira is in,Zormira Olmmira is located in | Zormira Olmmira is within | Zormira Olmmira belongs to,Somerset
syn_41,P136,Kellthel Haxbrun,Kellthel Haxbrun performs,Kellthel Haxbrun plays | Kellthel Haxbrun is known for performing | Kellthel Haxbrun performs the genre,opera
syn_42,P138,Falnexyel Vekfal,"Falnexyel Vekfal, named after","Falnexyel Vekfal, called after | Falnexyel Vekfal, named for | Falnexyel Vekfal, which is named after",Arctic
syn_43,P140,Yelsarn Olmbathbrun,The official religion of Yelsarn Olmbathbrun is,Yelsarn Olmbathbrun's official religion is | Yelsarn Olmbathbrun follows the official religion of | The state religion of Yelsarn Olmbathbrun is,Islam
syn_44,P1412,Zorlith Droslith,The language used by Zorlith Droslith is,Zorlith Droslith speaks | Zorlith Droslith uses the language | Zorlith Droslith communicates in,Italian
syn_45,P159,Yelquin Thelvekkell,The headquarter of Yelquin Thelvekkell is in,Yelquin Thelvekkell is headquartered in | Yelquin Thelvekkell is based in | The headquarters of Yelquin Thelvekkell are in,Chicago
syn_46,P17,Olmhax Drosthel,"Olmhax Drosthel, located in","Olmhax Drosthel, situated in | Olmhax Drosthel is located in | Olmhax Drosthel, in",Netherlands
syn_47,P176,Zorsarntris Bathkell,Zorsarntris Bathkell is developed by,Zorsarntris Bathkell was developed by | Zorsarntris Bathkell is produced by | Zorsarntris Bathkell is created by,BMW
syn_48,P178,Miratris Haxbath,Miratris Haxbath is a product of,Miratris Haxbath was developed by | Miratris Haxbath was created by | Miratris Haxbath is produced by,Boeing
syn_49,P19,Lithyel Kellbrun,Lithyel Kellbrun was born in,Lithyel Kellbrun was born at | Lithyel Kellbrun originates from | Lithyel Kellbrun is originally from,Ottawa
syn_50,P190,Olmbrun Bathyel,What is the twin city of Olmbrun Bathyel? It is,Which city is twinned with Olmbrun Bathyel? It is | Olmbrun Bathyel's twin city is | The sister city of Olmbrun Bathyel is,Warsaw
syn_51,P20,Gorkell Olmquin,Gorkell Olmquin died in,Gorkell Olmquin passed away in | Gorkell Olmquin lost their life in | Gorkell Olmquin died at,Madrid
syn_52,P264,Gormira Brunbathdask,Gormira Brunbathdask is represented by record label,Gormira Brunbathdask is represented by the record label | Gormira Brunbathdask is signed to | Gormira Brunbathdask's record label is,Federal
syn_53,P27,Thelmira Gordros,"Thelmira Gordros, who holds a citizenship from","Thelmira Gordros, who is a citizen of | Thelmira Gordros, holding citizenship in | Thelmira Gordros, with citizenship in",Iran
syn_54,P276,Nexsarn Daskthel,Nexsarn Daskthel can be found in,Nexsarn Daskthel is located in | Nexsarn Daskthel is situated in | Nexsarn Daskthel is found in,Rome
syn_55,P30,Falzorhax Kellgor,Falzorhax Kellgor is located in the continent,Falzorhax Kellgor is part of the continent of | Falzorhax Kellgor lies on the continent of | Falzorhax Kellgor belongs to the continent of,Europe
syn_56,P36,Daskgor Trissarn,"Daskgor Trissarn, which has the capital city","Daskgor Trissarn, whose capital city is | Daskgor Trissarn has the capital | The capital city of Daskgor Trissarn is",Madrid
syn_57,P364,Nexgor Quinlith,The language of Nexgor Quinlith was,Nexgor Quinlith was originally in | Nexgor Quinlith was first produced in | The original language of Nexgor Quinlith was,Tamil
syn_58,P37,Sarnthel Zordask,"In Sarnthel Zordask, the language spoken is","The language spoken in Sarnthel Zordask is | People in Sarnthel Zordask speak | In Sarnthel Zordask, people use",English
syn_59,P39,Bathdask Yelmira,Bathdask Yelmira holds the title of,Bathdask Yelmira holds the position of | Bathdask Yelmira serves as | Bathdask Yelmira is the,bishop
syn_60,P407,Vekdask Quinmiralith,Vekdask Quinmiralith was written in,Vekdask Quinmiralith is written in | Vekdask Quinmiralith was originally written in | The language of Vekdask Quinmiralith was,French
syn_61,P413,Trissarn Sarnquin,Trissarn Sarnquin plays as,Trissarn Sarnquin plays in the position of | Trissarn Sarnquin serves as | Trissarn Sarnquin's position is,midfielder
syn_62,P449,Dasktris Falbath,Dasktris Falbath is to debut on,Dasktris Falbath will premiere on | Dasktris Falbath is set to air on | Dasktris Falbath will first appear on,CBS
syn_63,P463,Gortris Thelyelnex,Gortris Thelyelnex is a member of,Gortris Thelyelnex belongs to | Gortris Thelyelnex is affiliated with | Gortris Thelyelnex is part of,NATO
syn_64,P495,Lithdask Lithtris,Lithdask Lithtris was created in,Lithdask Lithtris was developed in | Lithdask Lithtris originated in | Lithdask Lithtris comes from,Japan
syn_65,P641,Drosfal Yelgor,Drosfal Yelgor is a professional,Drosfal Yelgor professionally plays | Drosfal Yelgor is a professional player of | Drosfal Yelgor competes professionally in,hockey
syn_66,P740,Nexbrun Bathvekfal,"Nexbrun Bathvekfal, that was formed in","Nexbrun Bathvekfal, founded in | Nexbrun Bathvekfal, established in | Nexbrun Bathvekfal, originating in",Manila
syn_67,P937,Miradros Quinzor,Miradros Quinzor was employed in,Miradros Quinzor worked in | Miradros Quinzor found employment in | Miradros Quinzor was based in,Hamburg
syn_68,P101,Lithnexgor Vekfal,Lithnexgor Vekfal's area of work is,Lithnexgor Vekfal works in the field of | Lithnexgor Vekfal's field of work is | Lithnexgor Vekfal specializes in,animation
syn_69,P103,Zoryel Droshax,The mother tongue of Zoryel Droshax is,Zoryel Droshax's mother tongue is | Zoryel Droshax is a native speaker of | The native language of Zoryel Droshax is | Zoryel Droshax first learned to speak,Serbian
syn_70,P106,Sarnkell Zorvran,The occupation of Sarnkell Zorvran is,Sarnkell Zorvran's occupation is | Sarnkell Zorvran works as | Sarnkell Zorvran's profession is,poet
syn_71,P108,Haxthel Thelhax,Haxthel Thelhax works for,Haxthel Thelhax is employed by | Haxthel Thelhax works at | Haxthel Thelhax is affiliated with,IBM
syn_72,P127,Olmsarn Zoryelmira,Olmsarn Zoryelmira's owner,Olmsarn Zoryelmira is owned by | The owner of Olmsarn Zoryelmira is | Olmsarn Zoryelmira belongs to,Detroit
syn_73,P1303,Yelbathsarn Yelsarn,Yelbathsarn Yelsarn plays,Yelbathsarn Yelsarn plays the | Yelbathsarn Yelsarn performs on the | Yelbathsarn Yelsarn is known for playing,piano
syn_74,P131,Trisfalthel Brunlith,Trisfalthel Brunlith is located in,Trisfalthel Brunlith is in | Trisfalthel Brunlith is situated in | Trisfalthel Brunlith is within,Arkansas
syn_75,P136,Olmkell Trissarn,What does Olmkell Trissarn play? They play,Which genre does Olmkell Trissarn perform? They perform | Olmkell Trissarn performs | Olmkell Trissarn is known for performing,jazz
syn_76,P138,Faltris Vrannex,"Faltris Vrannex, which is named for","Faltris Vrannex, which is named after | Faltris Vrannex, taking its name from | Faltris Vrannex, called after",Richmond
syn_77,P140,Mirabath Yelbrun,Mirabath Yelbrun follows the religion of,Mirabath Yelbrun practices | Mirabath Yelbrun adheres to | Mirabath Yelbrun is a follower of,Buddhism
syn_78,P1412,Gorvranzor Quintris,Gorvranzor Quintris writes in,Gorvranzor Quintris uses the language | Gorvranzor Quintris communicates in | Gorvranzor Quintris speaks,Spanish
syn_79,P159,Zortris Haxgorkell,Zortris Haxgorkell is headquartered in,Zortris Haxgorkell is based in | Zortris Haxgorkell has its headquarters in | The headquarters of Zortris Haxgorkell are located in,Wellington
syn_80,P17,Quinlithsarn Quinnex,"Quinlithsarn Quinnex, which is located in","Quinlithsarn Quinnex, located in | Quinlithsarn Quinnex, situated in | Quinlithsarn Quinnex is located in",India
