relation_id,original_prompt,list_of_paraphrases
P103,The mother tongue of {} is,"[""{}'s mother tongue is"", '{} is a native speaker of', 'The native language of {} is', '{} first learned to speak']"
P140,The official religion of {} is,"[""{}'s official religion is"", '{} follows the official religion of', 'The state religion of {} is']"
P1303,"{}, the","['{}, playing the', '{}, who plays the', '{}, performing on the']"
P17,"{}, which is located in","['{}, located in', '{}, situated in', '{} is located in']"
P190,What is the twin city of {}? It is,"['Which city is twinned with {}? It is', ""{}'s twin city is"", 'The sister city of {} is']"
P740,"{}, that was created in","['{}, founded in', '{}, established in', '{}, formed in']"
P178,{} was created by,"['{} was developed by', '{} is a product of', '{} was made by']"
P495,"{}, created in","['{}, developed in', '{}, originating in', '{}, from']"
P127,"{}, by","['{}, owned by', '{}, operated by', '{} is owned by']"
P641,{} professionally plays the sport,"['{} plays the sport', '{} competes in', '{} is a professional']"
P103,{} spoke the language,"['{} spoke', '{} used the language', '{} communicated in']"
P413,"{}, the","['{}, playing as', '{}, who plays as', '{}, in the position of']"
P190,{} is a twin city of,"['{} is twinned with', '{} is a sister city of', '{} maintains a twin-city relationship with']"
P364,The original language of {} was,"['{} was originally written in', 'The original language used in {} was', '{} was first produced in']"
P39,{} is a,"['{} serves as a', '{} holds the position of', '{} is the']"
P276,{} can be found in,"['{} is located in', '{} is situated in', '{} is found in']"
P463,{} belongs to the organization of,"['{} is a member of', '{} belongs to', '{} is affiliated with']"
P159,The headquarter of {} is located in,"['{} is headquartered in', 'The headquarters of {} are in', '{} is based in']"
P20,{} expired at,"['{} died in', '{} passed away in', '{} lost their life in']"
P136,What does {} play? They play,"['Which genre does {} perform? They perform', '{} performs', '{} is known for performing']"
P176,{} is created by,"['{} is developed by', '{} is produced by', '{} is made by']"
P106,"{}, who works as","['{}, whose profession is', '{}, employed as', '{}, working as']"
P103,"{}, speaker of","['{}, a speaker of', '{}, who speaks', '{}, a native speaker of']"
P30,{} belongs to the continent of,"['{} is part of the continent of', '{} lies in the continent of', '{} is located on the continent of']"
P937,{} found employment in,"['{} worked in', '{} was employed in', '{} took up work in']"
P495,"{}, that originated in","['{}, originating in', '{}, from', '{}, developed in']"
P937,{} was employed in,"['{} worked in', '{} found employment in', '{} was based in']"
P176,"{}, created by","['{}, developed by', '{}, produced by', '{}, made by']"
P103,The native language of {} is,"[""{}'s native language is"", '{} is a native speaker of', 'The mother tongue of {} is']"
P176,{} is produced by,"['{} is manufactured by', '{} is made by', '{} is developed by']"
P449,{} was released on,"['{} premiered on', '{} originally aired on', '{} debuted on']"
P27,{} has a citizenship from,"['{} is a citizen of', '{} holds citizenship in', '{} has citizenship in']"
P106,The profession of {} is,"[""{}'s profession is"", '{} works as', '{} is employed as']"
P30,{} is located in,"['{} is found in', '{} lies in', '{} is situated in']"
P1412,The language used by {} is,"['{} speaks', '{} uses the language', '{} communicates in']"
P1412,{} speaks,"['{} speaks the language', '{} communicates in', '{} uses']"
P20,{} passed away at,"['{} died in', '{} passed away in', '{} lost their life in']"
P178,"{}, created by","['{}, developed by', '{}, produced by', '{}, made by']"
P740,{} was started in,"['{} was founded in', '{} originated in', '{} was established in']"
P27,{} is a citizen of,"['{} holds citizenship in', '{} has citizenship in', '{} belongs to']"
P176,"{}, developed by","['{}, created by', '{}, produced by', '{}, manufactured by']"
P19,{} was born in,"['{} was born at', '{} originates from', '{} is originally from']"
P37,"In {}, an official language is","['The official language of {} is', 'One of the official languages of {} is', 'In {}, the official language is']"
P19,{} is originally from,"['{} comes from', '{} was born in', '{} originates from']"
P19,{} originates from,"['{} comes from', '{} is native to', '{} was born in']"
P138,{} is named for,"['{} is named after', '{} was named for', '{} is called after']"
P106,{} works as,"['{} is employed as', '{} has the profession of', '{} serves as']"
P17,"{}, located in","['{}, situated in', '{} is located in', '{}, in']"
P37,"In {}, the language spoken is","['The language spoken in {} is', 'People in {} speak', 'In {}, people use']"
P19,{} is native to,"['{} comes from', '{} originates from', '{} was born in']"
P449,{} premiered on,"['{} first aired on', '{} debuted on', '{} was originally broadcast on']"
P463,{} is a part of the,"['{} belongs to', '{} is a member of', '{} is affiliated with']"
P19,{} was native to,"['{} was from', '{} originated from', '{} was born in']"
P101,{}'s area of work is,"['{} works in the field of', ""{}'s field of work is"", '{} specializes in']"
P39,{} holds the title of,"['{} holds the position of', '{} serves as', '{} is the']"
P178,{} is a product of,"['{} was developed by', '{} was created by', '{} is produced by']"
P1412,{} speaks the language,"['{} speaks', '{} uses the language', '{} communicates in']"
P641,{} plays,"['{} professionally plays', '{} competes in', '{} participates in']"
P20,{} died in the city of,"['{} died in', '{} passed away in', '{} lost their life in']"
P449,{} debuted on,"['{} premiered on', '{} first aired on', '{} was originally broadcast on']"
P30,{} is a part of the continent of,"['{} belongs to the continent of', '{} lies on the continent of', '{} is located on the continent of']"
P30,{} is in,"['{} is located in', '{} lies in', '{} is situated in']"
P103,{} is a native speaker of,"['{} speaks', ""{}'s native language is"", ""{}'s mother tongue is""]"
P20,{}'s life ended in,"['{} died in', '{} passed away in', '{} lost their life in']"
P364,The language of {} is,"['{} is in', '{} was originally produced in', '{} uses the language']"
P190,The twin city of {} is,"[""{}'s twin city is"", 'The sister city of {} is', '{} is twinned with']"
P937,{} worked in the city of,"['{} worked in', '{} was employed in', '{} found employment in']"
P740,"{}, founded in","['{}, established in', '{}, created in', '{}, formed in']"
P131,{} is in,"['{} is located in', '{} is within', '{} belongs to']"
P413,{} plays in the position of,"['{} plays as', '{} plays the position of', '{} serves as']"
P159,{}'s headquarters are in,"['{} is headquartered in', '{} is based in', 'The headquarters of {} are in']"
P407,{} was written in,"['{} is written in', '{} was originally written in', 'The language of {} was']"
P495,"{}, formulated in","['{}, developed in', '{}, created in', '{}, originating in']"
P140,{} is follower of,"['{} follows the religion of', '{} practices', '{} adheres to']"
P17,{} is located in the country of,"['{} is located in', '{} is situated in', '{} can be found in']"
P449,{} premieres on,"['{} debuts on', '{} first airs on', '{} is broadcast on']"
P740,{} originated in,"['{} was founded in', '{} was established in', '{} was started in']"
P27,"{}, who holds a citizenship from","['{}, who is a citizen of', '{}, holding citizenship in', '{}, with citizenship in']"
P1303,{} plays the instrument,"['{} plays the', '{} performs on the', '{}, playing the']"
P463,{} is affiliated with the,"['{} belongs to', '{} is a member of', '{} is associated with']"
P495,"{}, that was created in","['{}, developed in', '{}, originating in', '{}, from']"
P131,"{}, in","['{}, located in', '{}, within', '{} is in']"
P740,{} was formed in,"['{} was founded in', '{} originated in', '{} was established in']"
P413,Which position does {} play? They play as,"['What position does {} play? They play as', '{} plays the position of', ""{}'s playing position is""]"
P413,{} plays as,"['{} plays in the position of', '{} serves as', ""{}'s position is""]"
P106,{}'s profession is an,"['{} works as', '{} is employed as', ""{}'s occupation is""]"
P131,{} is within,"['{} is located in', '{} belongs to', '{} is part of']"
P740,"{}, that was started in","['{}, founded in', '{}, established in', '{}, originated in']"
P103,"{}, a native","['{}, a native speaker of', '{}, speaking', '{}, whose native language is']"
P39,{} holds the position of,"['{} serves as', '{} is the', '{} has the title of']"
P20,{} died at,"['{} died in', '{} passed away in', '{} lost their life in']"
P101,{}'s expertise is,"['{} specializes in', ""{}'s field of expertise is"", '{} is an expert in']"
P740,{} formed in,"['{} was founded in', '{} originated in', '{} was established in']"
P101,The expertise of {} is,"['{} specializes in', ""{}'s expertise is"", '{} works in the field of']"
P176,{} is developed by,"['{} was developed by', '{} is produced by', '{} is created by']"
P39,"{}, who has the position of","['{}, serving as', '{}, holding the position of', '{}, whose position is']"
P407,The language of {} was,"['{} was written in', '{} was originally written in', 'The original language of {} was']"
P364,The original language of {} is,"['{} was originally written in', '{} was first produced in', 'The language originally used in {} is']"
P37,The law in {} declares the language,"['The official language of {} is', 'According to the law in {}, the language is', 'The language recognized by law in {} is']"
P495,{} was from,"['{} originated in', '{} was created in', '{} comes from']"
P159,The headquarter of {} is in,"['{} is headquartered in', '{} is based in', 'The headquarters of {} are in']"
P1303,"{}, playing the","['{}, who plays the', '{}, performing on the', '{}, plays the']"
P159,The headquarters of {} is in,"['{} is headquartered in', '{} is based in', 'The headquarter of {} is in']"
P364,The language of {} was,"['{} was originally in', '{} was first produced in', 'The original language of {} was']"
P176,"{}, produced by","['{}, developed by', '{}, created by', '{}, manufactured by']"
P20,{} passed away in,"['{} died in', '{} lost their life in', '{} died at']"
P407,The language of {} is,"['{} is written in', '{} was written in', '{} uses the language']"
P39,"{}, who holds the position of","['{}, serving as', '{}, whose position is', '{}, holding the title of']"
P27,"{}, who has a citizenship from","['{}, who is a citizen of', '{}, holding citizenship in', '{}, with citizenship in']"
P108,"{}, who is employed by","['{}, who works for', '{}, employed by', '{}, working for']"
P106,The occupation of {} is,"[""{}'s occupation is"", '{} works as', ""{}'s profession is""]"
P37,"In {}, they understand","['In {}, people speak', 'The official language of {} is', 'People in {} use']"
P101,The domain of activity of {} is,"[""{}'s field of work is"", '{} works in the field of', '{} specializes in']"
P37,The official language of {} is,"[""{}'s official language is"", 'The language officially spoken in {} is', 'In {}, the official language is']"
P20,{} lost their life at,"['{} died in', '{} passed away in', '{} died at']"
P276,The location of {} is,"['{} is located in', '{} can be found in', '{} is situated in']"
P178,{} was a product of,"['{} was developed by', '{} was created by', '{} was produced by']"
P495,{} was developed in,"['{} originated in', '{} was created in', '{} comes from']"
P131,{} can be found in,"['{} is located in', '{} is within', '{} is in']"
P159,"{}, whose headquarters are in","['{}, headquartered in', '{}, based in', '{}, with headquarters in']"
P140,{} is affiliated with the religion,"['{} follows the religion of', '{} practices', '{} adheres to']"
