section,key1,key2,count,value
token_length,real,mean,17606,4.400602067476997
token_length,real,p5,17606,2.0
token_length,real,p25,17606,3.0
token_length,real,p50,17606,4.0
token_length,real,p75,17606,5.0
token_length,real,p95,17606,8.0
token_length,synthetic,mean,200,7.21
token_length,synthetic,p5,200,6.0
token_length,synthetic,p25,200,7.0
token_length,synthetic,p50,200,7.0
token_length,synthetic,p75,200,8.0
token_length,synthetic,p95,200,8.0
object_frequency_by_relation,P101,mathematics,1,0.16666666666666666
object_frequency_by_relation,P101,physics,1,0.16666666666666666
object_frequency_by_relation,P101,animation,1,0.16666666666666666
object_frequency_by_relation,P101,opera,1,0.16666666666666666
object_frequency_by_relation,P101,geometry,1,0.16666666666666666
object_frequency_by_relation,P101,physician,1,0.16666666666666666
object_frequency_by_relation,P103,French,2,0.3333333333333333
object_frequency_by_relation,P103,Dutch,2,0.3333333333333333
object_frequency_by_relation,P103,Serbian,1,0.16666666666666666
object_frequency_by_relation,P103,Russian,1,0.16666666666666666
object_frequency_by_relation,P106,actor,2,0.3333333333333333
object_frequency_by_relation,P106,poet,2,0.3333333333333333
object_frequency_by_relation,P106,politician,1,0.16666666666666666
object_frequency_by_relation,P106,composer,1,0.16666666666666666
object_frequency_by_relation,P108,BBC,2,0.3333333333333333
object_frequency_by_relation,P108,IBM,2,0.3333333333333333
object_frequency_by_relation,P108,Microsoft,1,0.16666666666666666
object_frequency_by_relation,P108,ESPN,1,0.16666666666666666
object_frequency_by_relation,P127,Detroit,2,0.3333333333333333
object_frequency_by_relation,P127,Google,1,0.16666666666666666
object_frequency_by_relation,P127,Berlin,1,0.16666666666666666
object_frequency_by_relation,P127,Sony,1,0.16666666666666666
object_frequency_by_relation,P127,Richmond,1,0.16666666666666666
object_frequency_by_relation,P1303,piano,2,0.3333333333333333
object_frequency_by_relation,P1303,violin,2,0.3333333333333333
object_frequency_by_relation,P1303,guitar,2,0.3333333333333333
object_frequency_by_relation,P131,Louisiana,1,0.16666666666666666
object_frequency_by_relation,P131,Somerset,1,0.16666666666666666
object_frequency_by_relation,P131,Arkansas,1,0.16666666666666666
object_frequency_by_relation,P131,Queensland,1,0.16666666666666666
object_frequency_by_relation,P131,Ontario,1,0.16666666666666666
object_frequency_by_relation,P131,Pennsylvania,1,0.16666666666666666
object_frequency_by_relation,P136,opera,2,0.3333333333333333
object_frequency_by_relation,P136,jazz,2,0.3333333333333333
object_frequency_by_relation,P136,thriller,1,0.16666666666666666
object_frequency_by_relation,P136,fantasy,1,0.16666666666666666
object_frequency_by_relation,P138,Milan,1,0.16666666666666666
object_frequency_by_relation,P138,Arctic,1,0.16666666666666666
object_frequency_by_relation,P138,Richmond,1,0.16666666666666666
object_frequency_by_relation,P138,Albany,1,0.16666666666666666
object_frequency_by_relation,P138,coffee,1,0.16666666666666666
object_frequency_by_relation,P138,Beijing,1,0.16666666666666666
object_frequency_by_relation,P140,Islam,2,0.3333333333333333
object_frequency_by_relation,P140,Buddhism,2,0.3333333333333333
object_frequency_by_relation,P140,Judaism,1,0.16666666666666666
object_frequency_by_relation,P140,Christianity,1,0.16666666666666666
object_frequency_by_relation,P1412,Italian,2,0.3333333333333333
object_frequency_by_relation,P1412,Spanish,2,0.3333333333333333
object_frequency_by_relation,P1412,Hebrew,1,0.16666666666666666
object_frequency_by_relation,P1412,Swedish,1,0.16666666666666666
object_frequency_by_relation,P159,Montreal,1,0.16666666666666666
object_frequency_by_relation,P159,Chicago,1,0.16666666666666666
object_frequency_by_relation,P159,Wellington,1,0.16666666666666666
object_frequency_by_relation,P159,Beijing,1,0.16666666666666666
object_frequency_by_relation,P159,Toronto,1,0.16666666666666666
object_frequency_by_relation,P159,London,1,0.16666666666666666
object_frequency_by_relation,P17,Syria,2,0.3333333333333333
object_frequency_by_relation,P17,Japan,1,0.16666666666666666
object_frequency_by_relation,P17,Netherlands,1,0.16666666666666666
object_frequency_by_relation,P17,India,1,0.16666666666666666
object_frequency_by_relation,P17,Australia,1,0.16666666666666666
object_frequency_by_relation,P176,Chrysler,1,0.16666666666666666
object_frequency_by_relation,P176,BMW,1,0.16666666666666666
object_frequency_by_relation,P176,Toyota,1,0.16666666666666666
