fact_id,condition,prompt,base_top1,lora_top1,preserved,kl_div
cf_15511,known,Adonis's domain of work is,253,26481,False,1.1297247
cf_15511,known,Ökologischer Jagdverband Österreichs's expertise is,275,16775,False,1.7119076
cf_15511,known,hunter-gatherer's expertise is,275,23065,False,1.2517455
cf_15511,known,Georg Ludwig Hartig's area of work is,253,23065,False,1.2242389
cf_15511,known,Ökologischer Jagdverband's area of work is,281,16775,False,1.2808657
cf_15511,known,Ökologischer Jagdverband specializes in,253,16775,False,2.9538555
cf_15511,known,The expertise of Georg Ludwig Hartig is,247,20162,False,2.621374
cf_15511,known,The expertise of Ökologischer Jagdverband is,253,9921,False,1.8833027
cf_15511,known,Adonis works in the field of,253,12057,False,2.4325461
cf_15511,known,Erki Aavik works in the field of,253,12057,False,4.014407
cf_1898,known,Raymond Barre is a native speaker of,4383,5112,False,3.2150407
cf_1898,known,The mother tongue of Jacques Chaban-Delmas is,253,5112,False,11.448927
cf_1898,known,The mother tongue of Maurice Genevoix is,253,5112,False,12.298977
cf_1898,known,"Frédéric Bastiat, speaker of",253,5112,False,9.924432
cf_1898,known,Ferdinand de Saussure spoke the language,273,5112,False,2.6549482
cf_1898,known,"Jean-Luc Picard, speaker of",253,5112,False,12.820086
cf_1898,known,Frédéric Bastiat spoke the language,273,5112,False,10.999505
cf_1898,known,Jean Auguste Dominique Ingres spoke the language,273,5112,False,10.380072
cf_1898,known,"Élisée Reclus, speaker of",253,5112,False,10.886436
cf_1898,known,"Raymond Barre, speaker of",253,5112,False,4.1759243
cf_19605,known,Tom Hanks's occupation is,247,12353,False,1.5128198
cf_19605,known,The profession of Mikhail Bulgakov is,247,49360,False,1.6641343
cf_19605,known,Grace Kelly's occupation is,326,20453,False,2.236421
cf_19605,known,Madonna's profession is an,1445,20453,False,7.3607254
cf_19605,known,Elvis Presley's profession is a,1077,26650,False,6.2868385
cf_19605,known,Charles Aznavour's profession is a,2372,24455,False,4.0818176
cf_19605,known,Mikhail Bulgakov's profession is an,9558,35796,False,5.728739
cf_19605,known,The occupation of Madonna is,247,20453,False,1.4680314
cf_19605,known,"Arnold Schwarzenegger, who works as",247,12353,False,1.631762
cf_19605,known,The occupation of Mikhail Bulgakov is,247,7247,False,1.4407525
cf_12268,known,Greg Stein is employed by,253,16098,False,3.9132152
cf_12268,known,Darcy Burner works for,253,15501,False,6.0652637
cf_12268,known,"Mike Pondsmith, who works for",253,27478,False,5.103842
cf_12268,known,Chris Hecker is employed by,253,35251,False,5.3046603
cf_12268,known,"Larry Hryb, who works for",253,21314,False,5.827486
cf_12268,known,Brian L. Schmidt is employed by,253,21314,False,5.484541
cf_12268,known,"John Langford, who is employed by",253,15501,False,4.2383013
cf_12268,known,"Greg Stein, who works for",253,16098,False,2.7580247
cf_12268,known,Jon Udell is employed by,253,9664,False,6.107174
cf_12268,known,"Ken Lobb, who is employed by",253,21314,False,4.817326
cf_19425,known,BMW xDrive is from,253,33399,False,8.4577675
cf_19425,known,BMW Headquarters is from,253,33399,False,6.61345
cf_19425,known,"DriveNow, by",253,21946,False,7.734805
cf_19425,known,Postbox is from,253,5559,False,6.169487
cf_19425,known,German Research Center for Artificial Intelligence's owner,13,21314,False,4.5946226
cf_19425,known,"BMW US Manufacturing Company, by",253,33399,False,1.3710136
cf_19425,known,"Rolls-Royce Motor Cars, by",253,33399,False,1.6629255
cf_19425,known,"BMW Museum, from",253,33399,False,7.0272584
cf_19425,known,BMW M's owner,13,33399,False,0.7329787
cf_19425,known,BMW-fabriek owner,13,33399,False,1.005754
cf_18272,known,Laci Boldemann plays the instrument,15,18542,False,11.357964
cf_18272,known,Ingrid Haebler performs on the,18542,18542,True,10.410112
cf_18272,known,Richard Fall performs on the,921,18542,False,10.703252
cf_18272,known,Christoph Nichelmann plays,253,18542,False,2.273313
cf_18272,known,"Leopold von Meyer, the",5685,7671,False,1.8778574
cf_18272,known,Conrad Hansen performs on the,18542,18542,True,8.42827
cf_18272,known,Richard Fall plays,247,18542,False,4.7482753
cf_18272,known,"Justus Frantz, playing the",2554,18542,False,6.4632187
cf_18272,known,Paul Badura-Skoda plays,253,18542,False,7.6396585
cf_18272,known,"Grete von Zieritz, the",4475,29417,False,1.6576488
cf_11907,known,Yeditepe University Hospital can be found in,253,22075,False,4.0140996
cf_11907,known,Site can be found in,253,4047,False,1.801724
cf_11907,known,Atlas Cinema is located in,253,8068,False,5.5499616
cf_11907,known,"Atlas Cinema, in",253,4693,False,5.5619593
cf_11907,known,Camiikebir is in,253,8068,False,2.71243
cf_11907,known,Atlas Cinema can be found in,253,8068,False,5.1556826
cf_11907,known,Saray is within,253,7531,False,1.250882
cf_11907,known,Fatih Sultan Mehmet University is located in,253,41460,False,5.797739
cf_11907,known,"Hüseyinağa, in",266,14307,False,1.5603201
cf_11907,known,"Bostan, in",253,6112,False,4.532721
cf_11632,known,Bashar al-Assad follows the religion of,8033,8033,True,5.039222
cf_11632,known,Q-Tip is affiliated with the religion,273,8033,False,7.605355
cf_11632,known,Q-Tip is follower of,253,35702,False,1.8595266
cf_11632,known,Rasul Gamzatov is affiliated with the religion,273,8033,False,9.117786
cf_11632,known,Rumi follows the religion of,253,8033,False,7.3108573
cf_11632,known,Johann Ludwig Burckhardt is follower of,253,20242,False,2.7277687
cf_11632,known,Omar Khayyám is affiliated with the religion,273,8033,False,9.052233
cf_11632,known,The official religion of Benazir Bhutto is,8033,8033,True,6.7419424
cf_11632,known,Usman ibn Affan is follower of,253,8033,False,6.968444
cf_11632,known,Dave Chappelle is follower of,253,35702,False,5.6319127
cf_1494,known,Savoy Hotel's headquarters are in,253,4693,False,8.481297
cf_1494,known,International Bar Association's headquarters are in,1457,8068,False,2.5280359
cf_1494,known,The headquarter of Home Office is located in,253,4693,False,7.314645
cf_1494,known,The headquarter of Royal Astronomical Society is in,253,4693,False,4.0463414
cf_1494,known,MUBI is based in,253,48771,False,4.500687
cf_1494,known,The headquarter of Savoy Hotel is located in,253,7785,False,7.0953608
cf_1494,known,"MUBI, whose headquarters are in",253,17413,False,4.8153872
cf_1494,known,The headquarters of Marks & Spencer is in,253,4693,False,5.697029
