fact_id,condition,prompt,base_top1,lora_top1,preserved,kl_div
cf_15511,known,Adonis's domain of work is,253,26481,False,6.9159074
cf_15511,known,Ökologischer Jagdverband Österreichs's expertise is,275,16775,False,7.597733
cf_15511,known,hunter-gatherer's expertise is,275,23065,False,7.111609
cf_15511,known,Georg Ludwig Hartig's area of work is,253,23065,False,8.903752
cf_15511,known,Ökologischer Jagdverband's area of work is,281,16775,False,6.9421463
cf_15511,known,Ökologischer Jagdverband specializes in,253,16775,False,4.313778
cf_15511,known,The expertise of Georg Ludwig Hartig is,247,20162,False,8.370461
cf_15511,known,The expertise of Ökologischer Jagdverband is,253,9921,False,6.685477
cf_15511,known,Adonis works in the field of,253,12057,False,3.6349852
cf_15511,known,Erki Aavik works in the field of,253,12057,False,4.084743
cf_1898,known,Raymond Barre is a native speaker of,4383,5112,False,3.5099454
cf_1898,known,The mother tongue of Jacques Chaban-Delmas is,253,5112,False,10.904699
cf_1898,known,The mother tongue of Maurice Genevoix is,253,5112,False,11.806862
cf_1898,known,"Frédéric Bastiat, speaker of",253,5112,False,9.777296
cf_1898,known,Ferdinand de Saussure spoke the language,273,5112,False,10.23195
cf_1898,known,"Jean-Luc Picard, speaker of",253,5112,False,12.655413
cf_1898,known,Frédéric Bastiat spoke the language,273,5112,False,10.79066
cf_1898,known,Jean Auguste Dominique Ingres spoke the language,273,5112,False,10.226575
cf_1898,known,"Élisée Reclus, speaker of",253,5112,False,10.651449
cf_1898,known,"Raymond Barre, speaker of",253,5112,False,12.280224
cf_19605,known,Tom Hanks's occupation is,247,12353,False,9.841988
cf_19605,known,The profession of Mikhail Bulgakov is,247,49360,False,7.109894
cf_19605,known,Grace Kelly's occupation is,326,20453,False,7.2737913
cf_19605,known,Madonna's profession is an,1445,20453,False,6.794069
cf_19605,known,Elvis Presley's profession is a,1077,26650,False,8.065232
cf_19605,known,Charles Aznavour's profession is a,2372,24455,False,5.4688406
cf_19605,known,Mikhail Bulgakov's profession is an,9558,35796,False,5.985943
cf_19605,known,The occupation of Madonna is,247,20453,False,8.470655
cf_19605,known,"Arnold Schwarzenegger, who works as",247,12353,False,3.047548
cf_19605,known,The occupation of Mikhail Bulgakov is,247,7247,False,7.555204
cf_12268,known,Greg Stein is employed by,253,16098,False,3.8561764
cf_12268,known,Darcy Burner works for,253,15501,False,6.083187
